"","num_layers","optim","activation","lr","xi","eps","tie","batch_size","early_stopping","patience","node_1","node_2","node_3","node_4","node_5","node_6","node_7","node_8","node_9","node_10","train.lkh","test.lkh","time"
"61",2,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.47540436391021,3.58740677833557,127.120903293292
"62",6,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,93.9943430821101
"63",10,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,NA,NA,84.6252606590589
"64",2,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.4741840664806,3.58529467582703,105.936456823349
"65",6,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.47419671090916,3.58660335540772,76.0666982769966
"66",10,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.47422740527213,3.58592586517334,91.5283027370771
"67",2,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.4742240965051,3.58619222640991,88.1232023477554
"68",6,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.47399429703945,3.58497271537781,157.204419517517
"69",10,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.47396263544669,3.58574132919312,99.576525803407
"70",2,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.47419833041091,3.58548197746277,37.3848693768183
"71",6,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.47386146132022,3.58588190078735,75.1137984633446
"72",10,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.47390227407187,3.58626646995544,77.9415145158768
"73",2,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.47510686279028,3.58382472991943,37.6853187600772
"74",6,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.47519961688938,3.58526158332825,59.6848173459371
"75",10,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,NA,NA,60.5024397452672
"76",2,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.47491258302546,3.58647584915161,72.9461074948311
"77",6,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,52.5883940736453
"78",10,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,NA,NA,42.9566570719083
"79",2,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.47507919120075,3.58600454330444,54.0794475793839
"80",6,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,53.2093583226204
"81",10,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,NA,NA,50.721448413531
"82",2,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.47415829923096,3.58425579071045,58.1554034113884
"83",6,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.51552717682881,3.61117563247681,35.4320880850156
"84",10,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.51553284094085,3.6111759185791,28.6084766387939
"85",2,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.47423106800607,3.58563523292541,24.480687602361
"86",6,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.51543864446168,3.61117496490479,39.0026608705521
"87",10,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.51547597168158,3.61117587089539,76.6937719305356
"88",2,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.47419715607527,3.58517746925354,65.3933101455371
"89",6,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.47422479577098,3.58464384078979,81.4180070320765
"90",10,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.47458064511836,3.58197240829468,258.372532900174
"91",2,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.47654144679535,3.58433814048767,89.3233896414439
"92",6,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,113.252199447155
"93",10,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,NA,NA,131.473996488253
"94",2,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.951725769043
"95",6,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,115.174369311333
"96",10,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,NA,NA,99.291732776165
"97",2,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.47678024759972,3.58420886993408,120.310010794799
"98",6,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,105.134723639488
"99",10,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,NA,NA,155.437087674936
"100",2,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.47413394946203,3.58517804145813,180.992508121332
"101",6,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.47430154659801,3.58611345291138,83.7194034139315
"102",10,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.47430844410279,3.58595762252808,117.577455135187
