"","num_layers","optim","activation","lr","xi","eps","tie","batch_size","early_stopping","patience","node_1","node_2","node_3","node_4","train.lkh","test.lkh"
"123",4,"Adam","LeakyReLU",0.05,0.2,0.2,"Efron",1000,"TRUE",20,2,2,2,2,5.70090168172663,7.09328569412232
"124",2,"Adam","LeakyReLU",0.05,0.2,0.2,"Efron",1000,"TRUE",20,10,10,NA,NA,5.67447156906128,6.12710990905762
"125",3,"Adam","LeakyReLU",0.05,0.2,0.2,"Efron",1000,"TRUE",20,10,10,10,NA,5.7012478611686,7.09318965911865
"126",4,"Adam","LeakyReLU",0.05,0.2,0.2,"Efron",1000,"TRUE",20,10,10,10,10,5.67532787322998,6.12627325057983
"127",2,"SGD","LeakyReLU",0.05,0.2,0.2,"Efron",1000,"TRUE",20,2,2,NA,NA,5.7013364315033,7.09293462753296
"128",3,"SGD","LeakyReLU",0.05,0.2,0.2,"Efron",1000,"TRUE",20,2,2,2,NA,5.67316417694092,6.13069581985474
"129",4,"SGD","LeakyReLU",0.05,0.2,0.2,"Efron",1000,"TRUE",20,2,2,2,2,NA,7.09382362365723
"130",2,"SGD","LeakyReLU",0.05,0.2,0.2,"Efron",1000,"TRUE",20,10,10,NA,NA,NA,6.13173732757568
"131",3,"SGD","LeakyReLU",0.05,0.2,0.2,"Efron",1000,"TRUE",20,10,10,10,NA,5.70117116407915,7.09322994232178
"132",4,"SGD","LeakyReLU",0.05,0.2,0.2,"Efron",1000,"TRUE",20,10,10,10,10,5.67577209472656,6.1332332611084
"133",2,"Adam","LeakyReLU",0.2,0.2,0.2,"Efron",1000,"TRUE",20,2,2,NA,NA,5.72205468958074,7.11538846969604
"134",3,"Adam","LeakyReLU",0.2,0.2,0.2,"Efron",1000,"TRUE",20,2,2,2,NA,5.68394622802734,6.12927742004395
"135",4,"Adam","LeakyReLU",0.2,0.2,0.2,"Efron",1000,"TRUE",20,2,2,2,2,5.7433940150521,7.1467080116272
"136",2,"Adam","LeakyReLU",0.2,0.2,0.2,"Efron",1000,"TRUE",20,10,10,NA,NA,5.69076452255249,6.12965822219849
"137",3,"Adam","LeakyReLU",0.2,0.2,0.2,"Efron",1000,"TRUE",20,10,10,10,NA,5.73261594772339,7.12521045684814
"138",4,"Adam","LeakyReLU",0.2,0.2,0.2,"Efron",1000,"TRUE",20,10,10,10,10,5.69215183258057,6.12790412902832
"139",2,"SGD","LeakyReLU",0.2,0.2,0.2,"Efron",1000,"TRUE",20,2,2,NA,NA,5.70065108212558,7.09389461517334
"140",3,"SGD","LeakyReLU",0.2,0.2,0.2,"Efron",1000,"TRUE",20,2,2,2,NA,5.67312259674072,6.12656097412109
"141",4,"SGD","LeakyReLU",0.2,0.2,0.2,"Efron",1000,"TRUE",20,2,2,2,2,5.70100658156655,7.09330327987671
"142",2,"SGD","LeakyReLU",0.2,0.2,0.2,"Efron",1000,"TRUE",20,10,10,NA,NA,5.67340650558472,6.12611360549927
"143",3,"SGD","LeakyReLU",0.2,0.2,0.2,"Efron",1000,"TRUE",20,10,10,10,NA,5.70061187310652,7.1030623626709
"144",4,"SGD","LeakyReLU",0.2,0.2,0.2,"Efron",1000,"TRUE",20,10,10,10,10,5.67308282852173,6.12627573013306
"145",2,"Adam","LeakyReLU",0.01,0,0,"Efron",5000,"TRUE",20,2,2,NA,NA,5.75684766335921,7.14967016220093
"146",3,"Adam","LeakyReLU",0.01,0,0,"Efron",5000,"TRUE",20,2,2,2,NA,5.70026655197144,6.13238868713379
"147",4,"Adam","LeakyReLU",0.01,0,0,"Efron",5000,"TRUE",20,2,2,2,2,5.75825985561718,7.15060844421387
"148",2,"Adam","LeakyReLU",0.01,0,0,"Efron",5000,"TRUE",20,10,10,NA,NA,5.70156326293945,6.13339519500732
"149",3,"Adam","LeakyReLU",0.01,0,0,"Efron",5000,"TRUE",20,10,10,10,NA,5.75907583670183,7.15131216049194
"150",4,"Adam","LeakyReLU",0.01,0,0,"Efron",5000,"TRUE",20,10,10,10,10,5.70244798660278,6.13453807830811
"151",2,"SGD","LeakyReLU",0.01,0,0,"Efron",5000,"TRUE",20,2,2,NA,NA,5.7888154593381,7.18007495880127
